DG,ODG,MEET,Rand 5,Rand 50,Rand 100,Rand 200,Rand 500,Rand 1000,Rand 2000,Rand 5000,Rand 10000
DG,ODG,MEET,Rand 5,Rand 50,Rand 100,Rand 200,Rand 500,Rand 1000,Rand 2000,Rand 5000,Rand 10000
60780661804.71248,925664998.4787914,1420719509.8072712,2144151222.4291697,1152463132.9620323,1069260296.3390238,958389681.9782212,719078988.0920196,1010817522.4162835,849229134.6391871,1127557210.6387887,1252691709.9734507
51234957178.284294,751573282.1239606,1205970882.0597882,2048777221.2023482,933474062.9619495,1159693936.8238838,942844492.543387,1122242610.030957,1267781906.3400803,1198834249.6396534,2596485842.9199576,1709991987.9619381
78334391572.44818,804976543.4295344,2379070077.1489835,771807641.4901427,1384315685.6618536,2045166114.2765245,1523921660.6843004,874321049.4590939,828567857.053142,3742634051.9406495,858423542.4986255,941329304.4994748
61090523312.911125,997977406.7429488,1297397379.8731973,1048839753.5061862,496184749.9747651,1303248771.9593108,1318183063.3993347,886301826.6719898,1287329003.9319105,1002474171.9993501,913793142.8782003,835087693.8548175
62700469035.00168,6558130593.737796,1785102858.2691991,2252012095.6520863,921557942.1033547,886191244.6214292,956818426.1836236,1185242044.402294,1191591181.0118284,1381191529.63553,1496764324.6651468,1116204645.385592
67708763135.1368,1128734235.1860814,1223234817.460845,1262442677.6097844,1335660351.4210498,898422619.1272234,1305689550.9524882,1045472655.9064591,1238187281.0321615,1285412654.7261837,1294722735.2843087,1181388922.4616873
49687759868.50003,1057730987.6403582,3314534110.266488,952794655.3690366,1013790127.174878,1021514332.0684823,1093845626.7217417,772687872.7986379,1782267931.151583,1157474674.0569212,861939782.6340313,2233848740.553231
51814330874.60774,7517847067.334503,1690801590.5285435,989306087.9690123,4164513863.169626,1144600853.1563115,1574903848.1078513,1317937101.1353679,1106043047.7122076,891879038.5862265,1051254446.0393481,1049567679.385267
54194981087.80577,963829429.039004,1259631797.4464982,1065830947.628274,1526487488.2252572,1214429949.056676,758557594.0913088,929420377.7697113,1390056000.4552648,1097552808.548009,1266819321.7531393,1466713630.2468903
45639901199.93065,2920973120.4881864,1500292648.7523155,724336645.1190721,1002179611.8793912,1149540530.675117,960148355.9803284,1395512162.9935222,946770284.5896056,1489889660.219716,1090755564.5896318,1371296115.6302962
45962745805.54509,3181111799.1176934,1059903409.7217869,1251271055.4027395,1166311984.3429477,1238763460.708738,950311012.3486907,999006553.3003191,660549892.7098727,936475454.2653077,1063915130.3213298,2164373343.980322
52956241847.121635,2861976016.4781547,2888019580.9495726,1169091558.6302552,873349889.5696425,872710599.4573708,841219454.5759283,1102232510.5247588,1122949478.333537,915494847.6741037,1174746518.2768025,1745278600.6309936
58169584565.91623,2975023042.0812397,4165822546.9462175,1498322600.051752,1310454862.0252473,989635379.4179351,798017142.8855904,978215695.3702812,4298712265.692865,903430573.86839,791686930.7756124,1068595024.7671442
68110483803.66293,4004341405.468874,4146078410.9695973,890026201.3888012,992577063.3332411,1145268212.964437,1085591370.0260966,834753268.391924,917339761.8835377,729131027.57335,907924843.3911036,1167482312.001532
45047226303.76572,597291596.6310524,888064749.3808892,959264808.6257331,1281079786.336169,1053566316.0633273,2195874587.575217,1090435801.5069041,777004025.6368393,979639288.241497,1337223128.8491251,1376366783.0791318
