epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,223.8689847,11,50,7.330909091,199.9981628,1000,18,8.128075848,220.5491723,491,32,7.401076972,220.2557864,1000,18,7.638085189,221.6347139,500,35,7.295413568,237.0997123
0.001,10,223.0788952,11,50,7.434545455,200.0200717,1000,18,8.199813668,220.9312182,491,32,7.292999683,220.3223788,1000,18,7.675848281,221.9332747,500,35,7.396664413,237.07717
0.001,10,222.9182345,11,50,7.401818182,199.9978839,1000,18,8.098427139,220.8730708,491,32,7.302248971,220.4047655,1000,18,7.697728661,221.721687,500,35,7.346686951,237.0680965
0.001,10,224.2053961,11,50,7.703636364,199.9989414,1000,18,8.142215159,220.7644637,491,32,7.31162496,220.3606037,1000,18,7.775809407,221.7694688,500,35,7.372492675,237.0087895
0.001,10,223.82417,11,50,7.598181818,199.9986831,1000,18,8.182495753,220.5186487,491,32,7.264048147,220.4537573,1000,18,7.611539957,221.7780274,500,35,7.341108857,236.9943934
0.001,10,224.5843358,11,50,7.434545455,199.999057,1000,18,8.161670412,221.014572,491,32,7.331073804,220.2257184,1000,18,7.678736047,221.5737869,500,35,7.293328826,237.1311032
0.001,10,223.3362729,11,50,7.463636364,199.9989122,1000,18,8.157888968,221.2616227,491,32,7.267469116,220.4200872,1000,18,7.723607486,221.7362275,500,35,7.286511156,236.9994729
0.001,10,223.414326,11,50,7.778181818,199.9982173,1000,18,8.185619554,220.876189,491,32,7.411593285,220.3993583,1000,18,7.704781474,221.5120151,500,35,7.428386297,237.0393976
0.001,10,224.1127552,11,50,7.687272727,200.0104532,1000,18,8.124458815,221.0937692,491,32,7.260817232,220.35455,1000,18,7.644804798,221.5857344,500,35,7.271805274,237.1316719
0.001,10,223.9177421,11,50,7.398181818,199.9986509,1000,18,8.111251165,221.0157806,491,32,7.279189104,213.0278354,1000,18,7.864163936,221.6608137,500,35,7.347982871,237.1003279
0.001,10,224.8978908,11,50,7.170909091,200.0433967,1000,18,8.068065983,220.7913463,491,32,7.241305036,220.2578125,1000,18,7.682956628,221.6871333,500,35,7.366576516,237.1069027
0.001,10,224.2909857,11,50,7.603636364,199.9987358,1000,18,8.143585247,221.1584314,491,32,7.365980361,220.4150284,1000,18,7.72660632,221.4130087,500,35,7.402017129,237.0774459
0.001,10,224.0889433,11,50,7.507272727,199.9980265,1000,18,8.145612977,220.9267485,491,32,7.311561609,220.2705195,1000,18,7.68229022,222.0264897,500,35,7.423822403,237.0941405
0.001,10,224.2590732,11,50,8.005454545,199.999009,1000,18,8.150490492,220.7258666,491,32,7.260120367,220.347113,1000,18,7.62814461,221.8453646,500,35,7.369788145,236.9860873
0.001,10,222.8528436,11,50,7.496363636,200.0229741,1000,18,8.123472352,221.0742407,491,32,7.281152993,220.4287504,1000,18,7.649303049,222.1353082,500,35,7.248873112,237.1664672
0.001,10,224.7018819,11,50,7.389090909,200.0068392,1000,18,8.098317532,220.995971,491,32,7.193538169,220.2656102,1000,18,7.660409841,221.6678394,500,35,7.422751859,237.0332865
0.001,10,223.9503083,11,50,7.178181818,199.9988959,1000,18,8.16506823,220.798662,491,32,7.262781121,220.269114,1000,18,7.693008275,221.82305,500,35,7.355589362,237.1029493
0.001,10,224.1466863,11,50,7.523636364,199.997671,1000,18,8.125390475,220.8682005,491,32,7.256889452,220.489329,1000,18,7.643249847,221.2280732,500,35,7.408778454,237.0827544
0.001,10,223.1806103,11,50,7.590909091,199.9986543,1000,18,8.134433057,220.6997175,491,32,7.287678175,220.3116259,1000,18,7.741656023,221.4117506,500,35,7.37564796,237.0268803
0.001,10,224.229853,11,50,7.356363636,199.9983992,1000,18,8.143859265,220.7363017,491,32,7.288121634,220.2747806,1000,18,7.654245571,221.538612,500,35,7.440274961,237.1518517
0.001,10,224.5418833,11,50,7.170909091,200.0096854,1000,18,8.126431742,220.6373044,491,32,7.289515363,220.2175854,1000,18,7.690342645,221.7930234,500,35,7.334122155,237.0481806
0.001,10,224.367992,11,50,7.505454545,200.0063719,1000,18,8.163588535,220.773769,491,32,7.305796642,220.4534456,1000,18,7.635586161,221.4236559,500,35,7.33547442,236.985454
0.001,10,224.4571329,11,50,7.638181818,199.9987613,1000,18,8.143914068,220.8698408,491,32,7.351472917,220.33091,1000,18,7.622424613,222.170259,500,35,7.205093532,236.9558184
0.001,10,224.2610924,11,50,7.298181818,199.9981827,1000,18,8.12780183,220.6885907,491,32,7.24985746,220.2049526,1000,18,7.663686344,,,,,
