epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,3074.147948124811,998,18,9.330908889012271
0.001,10,4782.487608038999,998,18,9.39908944533896
0.001,10,2869.90552053703,998,36,9.284887103476937
0.001,10,3055.332492667972,998,18,9.414080284270723
0.001,10,2624.6251492549163,998,18,9.354061406917994
0.001,10,3668.4936161134165,998,36,9.231140047097936
0.001,10,4216.002926140799,998,18,9.345455554938649
0.001,10,5346.215786289433,998,18,9.420909444228528
0.001,10,4363.454004943105,998,36,9.290594265133675
0.001,10,4286.992404716537,998,18,9.3770473599467
0.001,10,4756.4342378320725,998,18,9.345400033312975
0.001,10,5613.486906999856,998,36,9.297686660202244
0.001,10,3785.185517373065,998,18,9.391538504247404
0.001,10,6404.434069755919,998,18,9.329354283493421
0.001,10,7018.509955649279,998,36,9.276326360991828
0.001,10,7157.874972227524,998,18,9.334018100049969
0.001,10,2613.679725599292,998,18,9.382377436011327
0.001,10,3475.8325766339512,998,36,9.28355727940158
0.001,10,2932.060844525792,998,18,9.350063849869525
0.001,10,5777.508906210282,998,18,9.35278440952751
0.001,10,2992.302844357191,998,36,9.274276215542319
0.001,10,5642.572545059861,998,18,9.362056521014935
0.001,10,4125.2352136509835,998,18,9.38643051468547
0.001,10,2862.798609909615,998,36,9.293918825322066
0.001,10,2695.96848695268,998,18,9.378490922214203
0.001,10,4006.149109943122,998,18,9.432402420742878
0.001,10,4058.0954194962737,998,36,9.297409613519878
0.001,10,12798.25994829363,998,18,9.383376825273444
0.001,10,3180.832524046707,998,18,9.394980845039143
0.001,10,2997.665054759077,998,36,9.290732788474857
3401.5428703147577,998,18,9.409805119093887
0.001,10,2469.7145022956483,998,18,9.28976736438843
0.001,10,6510.903734550192,998,18,9.327744156348897
0.001,10,6346.612277674898,998,18,9.38332130364777
0.001,10,2935.252874049806,998,18,9.359724612736661
