epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,2712387298.011609,266,50,7.786165413533834
0.001,10,3470281147.516551,266,50,7.836992481203008
0.001,10,1988280217.0232978,266,50,7.945263157894737
0.001,10,3828368929.3873696,266,50,7.956315789473684
0.001,10,6340339319.9888,266,50,7.596541353383459
0.001,10,3211190399.276007,266,50,7.697894736842105
0.001,10,4618570141.912868,266,50,7.798045112781955
0.001,10,2804023362.261086,266,50,7.9625563909774435
0.001,10,5911696991.194415,266,50,7.903684210526316
0.001,10,962450660.945722,266,50,7.978195488721805
0.001,10,3496189663.819893,266,50,7.93593984962406
0.001,10,7717050457.265982,266,50,7.907067669172933
0.001,10,2102418897.963624,266,50,7.972781954887218
0.001,10,2031123953.8345118,266,50,7.834360902255639
0.001,10,12544084807.379854,266,50,7.6509774436090225
0.001,10,4439964856.829747,266,50,7.86
0.001,10,5178616295.446088,266,50,7.720225563909774
0.001,10,3923273019.389265,266,50,7.925789473684211
0.001,10,3687825330.8115706,266,50,7.686240601503759
0.001,10,7251946214.510596,266,50,7.740977443609022
0.001,10,1258216619.8111694,266,50,7.949699248120301
0.001,10,6819063530.024811,266,50,7.593458646616542
0.001,10,37379376339.74001,266,50,7.467518796992481
0.001,10,4220529511.92416,266,50,8.011503759398495
0.001,10,2608129082.0900292,266,50,7.846015037593985
