epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,2875193.86265379,1000,29,9.775078396912368
0.001,10,2504743.791716679,1000,29,9.744202074502912
0.001,10,1919.3751032489204,1000,29,9.703091078259071
0.001,10,24638844.459497843,1000,29,9.738343843688618
0.001,10,69351.41004790552,1000,29,9.701884971914952
0.001,10,69788.89140945756,1000,29,9.683000792584169
0.001,10,25753793.004322413,1000,29,9.720941452152038
0.001,10,1270.4144073275527,1000,29,9.730659223267514
0.001,10,212097.62053510692,1000,29,9.712602088286985
0.001,10,3120078.456359934,1000,29,9.701540370102347
0.001,10,1930076.260648435,1000,29,9.759192253351253
0.001,10,153508.60018475683,1000,29,9.757538164650747
0.001,10,513794.0644974657,1000,29,9.776112202350184
0.001,10,2014360.1051622722,1000,29,9.739997932389125
0.001,10,69750.30510781023,1000,29,9.77642234398153
0.001,10,
