epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,35.19624186014054,1000,36,7.58618426450078
0.001,10,62.25041197347076,1000,36,7.580277299204201
0.001,10,62.53082836989855,1000,36,7.505510432903985
0.001,10,34.88221332969163,1000,36,7.595099406568764
0.001,10,33.86221727146641,1000,36,7.518336204774797
0.001,10,35.33785357592503,1000,36,7.552766155276616
0.001,10,35.13049116591141,1000,36,7.562118850329532
0.001,10,434.6385436165813,1000,36,7.541006918806574
0.001,10,35.33778528944685,1000,36,7.5449995897940765
0.001,10,33.923942092159976,1000,36,7.536795471326606
0.001,10,35.06251153368484,1000,36,7.549347772581836
0.001,10,58.200713601047376,1000,36,7.580304646265759
0.001,10,35.33778342143914,1000,36,7.563267426914978
0.001,10,62.53031787325237,1000,36,7.517871304728307
0.001,10,35.33753559333531,1000,36,7.545245713348101
0.001,10,35.33798010518091,1000,36,7.558317608772938
0.001,10,35.33784462180953,1000,36,7.6244428036207506
0.001,10,35.33737660938917,1000,36,7.612136625919545
0.001,10,35.2424851751412,1000,36,7.625892197883338
0.001,10,34.75076959581304,1000,36,7.549375119643394
0.001,10,89.65838423191025,1000,36,7.588891623595044
0.001,10,
