epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,epsilon, pop_size, Thing, Thing Fac, Thing Runs, Thing PSO
0.001,10,4873358361.073829,266,50,7.684887218045112
0.001,10,2879613452.9357953,266,50,8.005338345864661
0.001,10,280888145.2388454,266,50,8.024962406015037
0.001,10,35.16777645092308,1000,36,7.576065851724232
0.001,10,833465361.1027607,266,50,7.886992481203007
0.001,10,2129.777298876717,1000,29,9.746924428822496
0.001,10,2268012862.350466,266,50,7.838120300751879
0.001,10,35.33793677191756,1000,36,7.543987748516422
0.001,10,14067708131.501915,266,50,7.607368421052632
0.001,10,1984914675.3770509,266,50,7.814511278195488
0.001,10,16924144.5143375,1000,29,9.71980426617044
0.001,10,4018245623.268922,266,50,7.778421052631579
0.001,10,35.11939081496321,1000,36,7.5374518008040035
0.001,10,317489562.25129646,266,50,8.068947368421053
0.001,10,514626025.5492543,266,50,8.013007518796993
0.001,10,29.977223767168383,1000,36,7.566084174255476
0.001,10,2315340619.4612317,266,50,7.950676691729323
0.001,10,239940500.81157237,1000,29,9.701678210827389
0.001,10,6294421454.395272,266,50,7.649022556390977
0.001,10,1468036479.6797678,266,50,7.996691729323309
0.001,10,35.33797726284159,1000,36,7.564853556485356
0.001,10,11227359809.877651,266,50,7.7159398496240605
0.001,10,2571941817.8477116,266,50,7.940827067669173
0.001,10,19809196.200378794,1000,29,9.74344395051518
0.001,10,936115862.6380118,266,50,8.046015037593985
0.001,10,89.09547150207356,1000,36,7.541581207099298
0.001,10,2731589828.181218,266,50,8.002255639097744
0.001,10,2526741270.8783846,266,50,7.7006015037593984
0.001,10,35.338266066611794,1000,36,7.547187354718735
0.001,10,169272111.54012534,266,50,8.250526315789473
0.001,10,3945717.141464945,1000,29,9.735793790275336
0.001,10,676547457.7205449,266,50,8.014661654135338
0.001,10,1622356216.9697385,266,50,8.030526315789473
0.001,10,89.65839962224028,1000,36,7.527688899827713
0.001,10,4025910671.6367893,266,50,7.92827067669173
0.001,10,2394685389.1061,266,50,8.00248120300752
0.001,10,89814.9330062537,1000,29,9.738033702057272
0.001,10,35.22303304208741,1000,36,7.5876063117018075
0.001,10,4474786146.334343,266,50,7.808947368421053
0.001,10,862692551.7101107,266,50,7.988045112781955
35.33761330025044,1000,36,7.574069516230481
0.001,10,145661.66042092096,1000,29,9.71112030049278
0.001,10,
