epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,20.26561694,1,50,8,6.00E-05,1000,18,8.076176906,20.36424159,1,50,10.54,2.60774606,1000,18,7.639584606,20.00124576,500,35,7.09989858,21.60641508
0.001,10,20.39742859,1,50,7.54,6.04E-05,1000,18,8.05496794,20.44225724,1,50,9.54,0.861440772,1000,18,7.861609374,20.00127687,500,35,7.163736759,21.60271011
0.001,10,20.39216862,1,50,5.82,5.62E-05,1000,18,8.115471036,20.40774743,1,50,9.52,1.029661738,1000,18,7.805186872,20.00163147,500,35,7.077079108,21.60517456
0.001,10,20.44811222,1,50,11.08,6.07E-05,1000,18,8.085657916,20.43645902,1,50,10.16,1.116869474,1000,18,7.747431554,20.00110109,500,35,7.147453234,21.60584863
0.001,10,20.40378179,1,50,5.7,5.85E-05,1000,18,8.118649641,20.31869363,1,50,7.68,1.716319927,1000,18,7.676181485,20.00128919,500,35,7.150608519,21.59164507
0.001,10,20.36797248,1,50,11.58,5.38E-05,1000,18,8.122157067,20.5884775,1,50,10.46,1.106559413,1000,18,7.830232687,4.381311746,500,35,7.522650439,21.59833587
0.001,10,20.3231794,1,50,9.76,7.87E-05,1000,18,8.0326081,20.26270567,1,50,8.92,1.730114813,1000,18,7.68017993,20.00140398,500,35,7.121422132,21.59101198
0.001,10,20.45308771,1,50,9.96,6.32E-05,1000,18,8.074094372,20.41845697,1,50,7.58,1.940493519,1000,18,7.673127117,19.99763736,500,35,7.147115168,21.60318354
0.001,10,20.36020504,1,50,6.24,5.15E-05,1000,18,8.0745328,20.37704455,1,50,7.82,1.29289498,1000,18,7.753318154,20.00151834,500,35,7.134550372,21.59492407
0.001,10,20.4866865,1,50,8.88,5.01E-05,1000,18,8.143037212,20.45761856,1,50,8.16,1.141764822,1000,18,7.846004332,10.6643171,500,35,7.475659229,21.56964436
0.001,10,20.17802035,1,50,7.32,5.27E-05,1000,18,8.046637803,20.29964454,1,50,7.42,1.444526552,1000,18,7.711501083,20.0014616,500,35,7.169258508,21.59972648
0.001,10,20.22968267,1,50,5.88,5.28E-05,1000,18,8.054584315,20.23450105,1,50,7.2,1.045402999,1000,18,7.77991892,20.00154523,500,35,7.160187063,21.60377133
0.001,10,20.37777756,1,50,9.38,4.52E-05,1000,18,8.130267989,20.27140099,1,50,9.36,0.990035627,1000,18,7.790970178,20.00146271,500,35,7.072289835,21.57878918
0.001,10,20.40192406,1,50,7.08,4.94E-05,1000,18,8.08960377,20.29531182,1,50,11.68,1.392451691,1000,18,7.797189982,20.00125492,500,35,7.128127113,21.59633577
0.001,10,20.29800223,1,50,8.16,6.04E-05,1000,18,8.035677098,20.42866326,1,50,7.52,1.211865231,1000,18,7.814905315,2.341931422,500,35,7.685711066,21.60671677
0.001,10,20.27130242,1,50,8,6.61E-05,1000,18,8.079245903,20.34815833,1,50,10.7,0.934623515,1000,18,7.810129394,11.99036201,500,35,7.655116069,21.59402357
0.001,10,20.42999552,1,50,7.22,8.16E-05,1000,18,8.081547652,20.44183602,1,50,10.22,0.962479715,1000,18,7.867329372,20.00139605,500,35,7.153482082,21.60058005
0.001,10,20.3629848,1,50,7.18,5.18E-05,1000,18,8.137940483,20.40812579,1,50,8.98,1.501903755,1000,18,7.753318154,20.0014844,500,35,7.076628352,21.59268422
0.001,10,20.56225088,1,50,9.18,6.30E-05,1000,18,8.032936921,20.362405,1,50,10.46,1.17643431,1000,18,7.728661076,20.00128842,500,35,7.298681542,21.59399985
0.001,10,20.27020413,1,50,6.2,5.41E-05,1000,18,8.10451033,20.49386807,1,50,10.72,1.76231137,1000,18,7.674793136,20.00131613,500,35,7.023777327,21.58773716
0.001,10,20.66679847,1,50,10.2,5.46E-05,1000,18,8.091247876,20.36648487,1,50,10.16,1.683132823,1000,18,7.730937969,20.00153132,500,35,7.074543611,21.59249465
0.001,10,20.20703071,1,50,6.54,6.88E-05,1000,18,8.017153505,20.29108881,1,50,7.28,2.161722443,1000,18,7.585161326,20.00109142,500,35,7.101757945,21.59909787
0.001,10,20.49125843,1,50,8.9,5.11E-05,1000,18,8.113114485,20.55702708,1,50,10.1,1.431294499,1000,18,7.736935636,19.01359058,500,35,7.273833671,21.59996285
0.001,10,20.29656769,1,50,9.56,6.30E-05,1000,18,8.082205294,20.28529791,1,50,6.22,0.944109476,1000,18,7.851613262,20.00149125,500,35,7.085249042,21.60040027
0.001,10,20.41917065,1,50,9.48,7.55E-05,1000,18,8.065709432,20.22911444,1,50,6.32,1.126089354,1000,18,7.847448215,20.00147604,500,35,7.129817444,21.59590295
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
0.001,10,20.423403224157173,1,50,8.8,20.254711286599314,1,50,4.42
0.001,10,20.480053892771185,1,50,10.16,20.34253143411223,1,50,5.24
0.001,10,20.4078405514725,1,50,11.0,20.34199486412757,1,50,10.56
0.001,10,20.38068355584329,1,50,10.88,20.187272051081685,1,50,8.9
0.001,10,20.24950277022789,1,50,9.32,20.319997535107543,1,50,10.72
0.001,10,20.364872420606307,1,50,9.28,20.44558791062649,1,50,5.54
0.001,10,20.426990269374002,1,50,7.44,20.360239763986005,1,50,9.92
0.001,10,20.23199009678148,1,50,6.98,20.391424389278058,1,50,9.92
0.001,10,20.414367269363385,1,50,9.26,20.53433265901455,1,50,10.62
0.001,10,20.29726630820802,1,50,9.92,20.388499082117487,1,50,8.88
0.001,10,20.326086830970446,1,50,7.66,20.460351529314433,1,50,9.58
0.001,10,20.44923851000683,1,50,8.72,20.352566937544186,1,50,11.26
0.001,10,20.661991013220945,1,50,9.24,20.375935558499886,1,50,7.12
0.001,10,20.506468616824822,1,50,10.54,20.27174968147888,1,50,8.8
0.001,10,20.463391397496036,1,50,9.8,20.452501833614292,1,50,9.68
0.001,10,20.475341785365526,1,50,10.14,20.38006604043739,1,50,11.02
0.001,10,20.29211241380585,1,50,8.26,20.442423820409637,1,50,6.12
0.001,10,20.383819206564738,1,50,10.42,20.400629290514846,1,50,10.04
0.001,10,20.499283792744766,1,50,8.7,20.393079053791748,1,50,9.9
0.001,10,20.57511893384712,1,50,9.86,20.331293852710118,1,50,9.08
0.001,10,20.362499274720413,1,50,11.08,20.416038268644577,1,50,9.22
0.001,10,20.316283363351737,1,50,7.76,20.292961569265774,1,50,5.3
0.001,10,20.480985321152144,1,50,10.22,20.32125407264617,1,50,4.9
0.001,10,20.439261284369447,1,50,5.86,20.53402917177942,1,50,10.34
0.001,10,20.458207314677235,1,50,9.24,20.272358468790223,1,50,10.44
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
0.001,10,5.7524588218615946e-05,1000,18,8.070422535211268,5.138062350384942e-05,1000,18,8.086808790486108
0.001,10,6.363033822553987e-05,1000,18,8.048227105825616,5.274240216879278e-05,1000,18,8.032991724667069
0.001,10,5.463374775560581e-05,1000,18,8.016550665862882,5.854182029496613e-05,1000,18,8.041924699950677
0.001,10,5.23498044455728e-05,1000,18,8.120786978681426,5.836202224118736e-05,1000,18,8.054365101112511
0.001,10,6.927115901733671e-05,1000,18,8.153778703348495,5.8358908792133235e-05,1000,18,8.147311886885515
0.001,10,7.663926514611674e-05,1000,18,8.07201183756234,5.604934197522837e-05,1000,18,8.09261796459692
0.001,10,5.0753796604130486e-05,1000,18,8.102756617526168,7.343548070126715e-05,1000,18,8.090261412834987
0.001,10,6.657947726695923e-05,1000,18,8.058584972872254,5.858658881097156e-05,1000,18,8.061653970515701
0.001,10,5.736009561063682e-05,1000,18,8.019564859976983,6.736552544994723e-05,1000,18,8.073107908149284
0.001,10,5.097131770925856e-05,1000,18,8.054858332876638,6.205579729412491e-05,1000,18,8.169397709212474
0.001,10,6.425951684052578e-05,1000,18,8.124842439853127,6.870964999494689e-05,1000,18,8.083684989313312
0.001,10,5.6001900159419193e-05,1000,18,8.088507699895873,5.162290334270736e-05,1000,18,8.123143530443361
0.001,10,6.266586328651513e-05,1000,18,8.122266673973805,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO
0.001,10,6.287632660617604e-05,1000,18,8.020386912917193,5.972889790273328e-05,1000,18,8.08757603989697
0.001,10,7.9014480960371e-05,1000,18,8.113004877514111,4.921065334118069e-05,1000,18,8.087137611662191
0.001,10,4.994042138806165e-05,1000,18,8.081986079903546,5.439827288400423e-05,1000,18,8.096344604592536
0.001,10,4.876328868563817e-05,1000,18,8.067243930509125,5.420719823279185e-05,1000,18,8.086644379898065
0.001,10,5.3713306503500036e-05,1000,18,8.035951115251823,5.073426819679483e-05,1000,18,8.148188743355073
0.001,10,5.611095513602393e-05,1000,18,8.118046802214062,6.130821135075237e-05,1000,18,8.103907491642461
0.001,10,5.378972152714212e-05,1000,18,8.068394804625418,5.651091532543617e-05,1000,18,8.0849454704883
0.001,10,5.4433100555417724e-05,1000,18,8.052227763467968,4.917747102028969e-05,1000,18,8.036444347015948
0.001,10,5.557641002384983e-05,1000,18,8.1324601304324,5.490047123091202e-05,1000,18,8.047843481120184
0.001,10,4.4040434926007066e-05,1000,18,8.115690250452129,5.313710343246569e-05,1000,18,8.095358141064285
0.001,10,6.084343060708264e-05,1000,18,8.100400065764235,8.292156118772098e-05,1000,18,8.11585466104017
0.001,10,5.104785446308213e-05,1000,18,8.058530169342905,5.1606932740089206e-05,1000,18,8.110155093988054
