epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,1844729.937995788,21,50,8.971428571428572,1629013.5580257652,961,16,9.26579902390189,1995283.2004444823,1000,18,8.31226745154662,1536582.2755933758,500,35,8.108012170385395,
0.5,10,1784442.9971544323,21,50,9.058095238095238,1640364.5914985174,961,16,9.287448379426856,1605494.697622974,1000,18,8.305103570833564,1348450.0652630774,500,35,8.08226279017354,
0.5,10,1610991.7242390723,21,50,9.043809523809523,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.001,10,1865259.5123800472,21,50,9.073333333333334,1630510.773802775,961,16,9.269115254661495,2029105.1140849465,1000,18,8.335202976620204,1549479.4441164534,500,35,8.160299752084741,
0.001,10,1689149.9272748376,21,50,9.041904761904762,1510912.8127195635,961,16,9.308346890251533,1578101.3465609287,1000,18,8.278613872382962,1310400.93037981,500,35,8.071557358575614,
0.001,10,1692380.1911064656,21,50,9.30952380952381,1363965.1651328946,961,16,9.260355399824803,1537390.66202806,1000,18,8.278947076137058,1238926.6847602588,500,35,8.041807527608745,
0.001,10,1608141.9877511053,21,50,8.816190476190476,1498055.1104698533,961,16,9.24859216618696,1635445.599381254,1000,18,8.378908202365746,1302268.9873093038,500,35,8.07138832544512,
0.001,10,1889094.3973697636,21,50,9.062857142857142,1621814.6424338212,961,16,9.303403829307971,1949389.7655668631,1000,18,8.336091519964459,1464865.0541247744,500,35,8.151622718052739,
0.001,10,1988514.98676865,21,50,8.97904761904762,1611058.5426963784,961,16,9.24477537229383,1796698.1992392256,1000,18,8.312489587382684,1350770.3677205609,500,35,8.150608519269777,
0.001,10,1885310.1484142973,21,50,8.691428571428572,1729189.9493672808,961,16,9.251032411462896,1800255.4774502493,1000,18,8.268173488087966,1428782.2428449057,500,35,8.047441965291863,
0.001,10,2074631.5733411585,21,50,8.898095238095237,1680825.939183791,961,16,9.277937679889876,1871916.405274379,1000,18,8.336813461431666,1504014.5966168253,500,35,8.06282398016678,
0.001,10,1806249.6017524842,21,50,8.91904761904762,1515517.1935979736,961,16,9.208421974721562,1524220.5333535678,1000,18,8.343144332759483,1238145.258804573,500,35,8.052512959206672,
0.001,10,1894293.8153436352,21,50,9.135238095238096,1636403.5769084082,961,16,9.27731197597297,1696553.2650937848,1000,18,8.324540456489142,1325633.986270597,500,35,8.109589812936669,
0.001,10,1881989.7838576362,21,50,8.82,1505771.5395965863,961,16,9.274183456388437,1679607.7684309846,1000,18,8.328872105292387,1284091.324231031,500,35,7.9990984899707005,
0.001,10,1783567.5759203874,21,50,8.913333333333334,1582830.6939958457,961,16,9.220623201101239,1839119.7101653365,1000,18,8.268340089965013,1392673.7979355948,500,35,8.087671850349334,
0.001,10,1926253.913592392,21,50,9.047619047619047,1638723.5046651694,961,16,9.282880740833438,2002482.9685867613,1000,18,8.345754428833231,1461223.2931934292,500,35,8.201656524678837,
0.001,10,1772000.67297541,21,50,9.08095238095238,1639424.869052312,961,16,9.30046302089851,1698227.937201189,1000,18,8.223357583162104,1378529.2783015466,500,35,7.932161370295245,
0.001,10,1741812.9056489833,21,50,9.016190476190475,1639778.2497181853,961,16,9.242898260543111,1585016.7541062585,1000,18,8.306880657522075,1240489.0403788928,500,35,8.065359477124183,
0.001,10,2075371.712696236,21,50,8.92,1676807.7068294866,961,16,9.280753347515956,1771176.9505166458,1000,18,8.267340478702726,1403944.404352878,500,35,8.010198332206446,
0.001,10,1775801.0527814752,21,50,9.047619047619047,1620125.6089012935,961,16,9.267175572519085,1690257.320269816,1000,18,8.259454656522463,1323716.2968368111,500,35,7.998140635564571,
0.001,10,1952630.2458581585,21,50,9.00952380952381,1623782.7223630035,961,16,9.288011512952071,1830563.1582309667,1000,18,8.30093852390737,1465865.416055442,500,35,8.019157088122606,
0.001,10,1796733.4039029726,21,50,8.981904761904762,1621652.0778392316,961,16,9.262420222750594,1665941.5693476368,1000,18,8.28177930804687,1364247.772661863,500,35,8.045977011494253,
0.001,10,1863411.885148165,21,50,9.174285714285714,1828172.0771333496,961,16,9.266237016643725,1767149.0551529024,1000,18,8.282556783473094,1436212.66991764,500,35,8.037412666215912,
0.001,10,1946067.0600050555,21,50,8.877142857142857,1653560.8526774666,961,16,9.194155925416093,1745815.0321992405,1000,18,8.297217748653301,1343272.9891089743,500,35,8.057471264367816,
0.001,10,1737285.5641964565,21,50,8.977142857142857,1604557.1406174402,961,16,9.255099486922788,1814173.606359213,1000,18,8.39445771089021,1514676.7542165257,500,35,8.116463826910074,
0.001,10,1786764.6880528508,21,50,8.997142857142856,1390508.785437472,961,16,9.260605681391565,1522687.411125037,1000,18,8.274726495251846,1186253.4476003847,500,35,8.055161144917736,
0.001,10,1794379.359369295,21,50,8.867619047619048,1619052.9844777656,961,16,9.239206607433363,1627597.8991921875,1000,18,8.270061642694507,1242239.625510577,500,35,8.01233941852603,
0.001,10,1635383.4703979148,21,50,8.791428571428572,1549434.3397077268,961,16,9.300087598548368,1772319.4738933847,1000,18,8.360693063808519,1331735.2242014613,500,35,8.152805949966194,
0.001,25,1686707.69621376,21,50,8.92,2494024.230622779,961,7,9.029394895325495,4135499.3874555654,1000,7,8.278933768529852,2469678.776929838,500,14,8.664302277997544,
0.001,25,1622044.424467597,21,50,9.076190476190476,2394799.9011841463,961,7,8.952968167479208,3308736.777639983,1000,7,8.357541139670882,2092814.2068724656,500,14,8.42477151821034,
0.001,25,1478674.2058617054,21,50,8.951428571428572,2286752.4205353055,961,7,8.96056782334385,3038404.1848752447,1000,7,8.219502243982047,1904691.9353850037,500,14,8.459691720092756,
0.001,25,1542867.161807843,21,50,8.96952380952381,2495857.3937604646,961,7,8.976770863206195,3360415.2801680644,1000,7,8.299605603155175,1981605.239614534,500,14,8.632519438003001,
0.001,25,1764090.9885745437,21,50,8.868571428571428,2487083.5364869195,961,7,8.941353599082305,3451255.8873971864,1000,7,8.330341357269141,2290300.256215876,500,14,8.591188105306234,
0.001,25,1746884.9402269956,21,50,8.859047619047619,2643472.2688421602,961,7,8.886005162030399,3570251.0297627747,1000,7,8.292805657554739,2291592.371996965,500,14,8.601555040240076,
