epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,20.20129371436668,1,50,339.6,20.535359011523152,1,50,374.76,0.6798047648023808,1000,18,134.57127783639694,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,20.246175460641915,1,50,7.64,20.563954447959848,1,50,10.28,2.7819005744827376,1000,18,7.583384239462431,20.00146367649278,500,35,7.255240027045301,
0.5,10,20.420269831572593,1,50,7.4,20.558396258666967,1,50,8.98,0.9844463948025788,1000,18,7.8897095573943465,20.000980767578046,500,35,7.098884381338743,
0.5,10,20.463609444596354,1,50,6.4,20.44123961516758,1,50,8.24,1.652221859784245,1000,18,7.75020825234631,20.0014481156965,500,35,7.1974870407933285,
0.5,20,20.325105395363252,1,50,11.28,20.400887900984426,1,50,9.44,5.587451798065455,1000,9,7.527483335154628,20.002012928485506,500,18,7.059256816182938,
0.5,20,20.481048013619986,1,50,9.82,20.42445179081192,1,50,9.36,8.071212422357306,1000,9,7.5615779696208065,20.002000737396507,500,18,7.16457783641161,
0.5,20,20.261010771545237,1,50,6.52,20.325317246084666,1,50,8.14,7.429858810748275,1000,9,7.51863184351437,20.00181700910352,500,18,7.152484608619173,
0.5,25,20.599799106042912,1,50,8.64,20.416047463121526,1,50,8.82,19.73610640774502,1000,7,7.364477084183327,20.002434086492944,500,14,7.158914199972719,
0.5,25,20.45047641570606,1,50,8.3,20.352419925988205,1,50,5.86,12.625247804941516,1000,7,7.5177478580171355,20.002504131921462,500,14,7.163142818169417,
0.5,25,20.42762434051793,1,50,10.72,20.519023647148874,1,50,7.82,18.38836254432471,1000,7,7.451380388956888,20.00241520367572,500,14,7.203519301595962,
0.5,50,20.29474206270119,1,50,5.06,20.332461073413178,1,50,9.78,20.001213087760842,1000,3,7.391210568886493,20.004286843008455,500,7,7.421024112706584,
0.5,50,20.50365963183305,1,50,8.84,20.43963530345894,1,50,7.24,19.996771727523456,1000,3,7.268266379077919,20.004576990254968,500,7,7.126253047954484,
0.5,50,20.30368455115208,1,50,10.46,20.458752935652,1,50,5.84,19.98857370093962,1000,3,7.3607441358856835,20.00484157959785,500,7,7.297209428339204,
0.1,10,20.510539226174107,1,50,7.06,20.399272661035305,1,50,6.76,1.3244297445878535,1000,18,7.761814849780641,20.001325110719364,500,35,7.229334535414436,
0.1,10,20.348206422559535,1,50,9.68,20.283310849037722,1,50,8.1,1.7088177092495482,1000,18,7.780529793969012,20.001222013559627,500,35,7.180593903194906,
0.1,10,20.231430382899642,1,50,6.84,20.342929264269383,1,50,5.26,0.9275857028022192,1000,18,7.891431110123841,15.267511463122723,500,35,7.186510396123288,
0.1,20,20.21618653744926,1,50,6.28,20.385273051517665,1,50,7.88,4.58136452323922,1000,9,7.64747022183368,20.002282599773547,500,18,7.069041336851363,
0.1,20,20.34072252236236,1,50,11.32,20.5464243116873,1,50,10.0,5.854563051154052,1000,9,7.541689432848869,20.00216931567509,500,18,6.994173262972735,
0.1,20,20.534525246550807,1,50,9.28,20.37986673679179,1,50,9.3,12.407544197052314,1000,9,7.481805267183915,20.002037908348267,500,18,7.068711521547933,
0.1,25,20.515923442782793,1,50,9.52,20.337672471534706,1,50,7.84,8.841325995051255,1000,7,7.569155446756426,20.00223206239337,500,14,7.186741235847769,
0.1,25,20.430828941652543,1,50,8.7,20.740999162611143,1,50,9.46,16.22760983528891,1000,7,7.391812865497076,20.002440350943957,500,14,7.134224525985541,
0.1,25,20.390251814702413,1,50,7.1,20.35882278172084,1,50,8.18,12.872822367747943,1000,7,7.502515979872161,20.002324014900903,500,14,7.235165734551903,
0.1,50,20.543649846730755,1,50,10.3,20.28567405135469,1,50,7.02,20.00179427740871,1000,3,7.179832839040173,20.004816081129068,500,7,7.238688702248713,
0.1,50,20.583806837286193,1,50,8.34,20.41892762021617,1,50,8.44,19.985074988125962,1000,3,7.41925047182529,20.005118500869816,500,7,7.3841777296125715,
0.1,50,20.25503400174092,1,50,7.96,20.257470614258235,1,50,7.2,19.990974179583418,1000,3,7.352655702345646,20.00475534550136,500,7,7.308046599837443,
0.001,10,20.341493427229278,1,50,5.68,20.52134876309758,1,50,9.42,1.2848367572527768,1000,18,7.770644749264175,20.00132922410093,500,35,7.029526117090213,
0.001,10,20.317315301793716,1,50,10.28,20.28916026185975,1,50,9.56,2.2647639236883674,1000,18,7.629366357527628,20.001436472556904,500,35,7.213275483180256,
0.001,10,20.399250489735984,1,50,6.6,20.529879936550433,1,50,11.52,1.4060243494070268,1000,18,7.757149997223302,20.001320476931063,500,35,7.066152025694484,
0.001,20,20.45750249019513,1,50,6.56,20.297386381951288,1,50,7.64,9.855732456628221,1000,9,7.4715331657742325,20.00163763955409,500,18,7.127638522427441,
0.001,20,20.184404395460582,1,50,6.18,20.324859322455495,1,50,7.24,5.120944685125128,1000,9,7.5762211780133315,20.0018345896577,500,18,7.156002638522428,
0.001,20,20.568953077973582,1,50,8.22,20.55346717624486,1,50,7.74,5.548912519151255,1000,9,7.551633701234838,20.001905989128858,500,18,7.18051890941073,
0.001,25,20.433329973657404,1,50,5.56,20.44483941727022,1,50,5.96,11.842533927652177,1000,7,7.508635930912552,20.002800318624146,500,14,7.181284954303642,
0.001,25,20.338663094011203,1,50,10.62,20.27623316820052,1,50,8.32,8.567366767080088,1000,7,7.59173126614987,20.002002544494463,500,14,7.06070113217842,
0.001,25,20.46866597962671,1,50,8.46,20.388223052315073,1,50,9.66,9.610285170745186,1000,7,7.534747722018224,20.002304368345193,500,14,7.091119901786932,
0.001,50,20.56597177390614,1,50,9.46,20.422895394300753,1,50,10.38,20.00123209372296,1000,3,7.377460231868429,20.004592015844516,500,7,7.260363045245191,
0.001,50,20.368868092388986,1,50,8.1,20.462782000435045,1,50,8.34,19.99417416309657,1000,3,7.3572391480183335,20.00493716429882,500,7,7.195069086968301,
0.001,50,20.462411209074787,1,50,9.38,20.397064609625442,1,50,7.14,19.968437665950994,1000,3,7.277433270423295,20.00443311565719,500,7,7.313736114874018,
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.001,10,20.607522977180874,1,50,8.22,20.40170373402628,1,50,7.58,2.7316524814800514,1000,18,7.571388904314989,14.602966107238526,500,35,7.260254676583277,
0.001,10,20.435452364127418,1,50,4.96,20.307013250327156,1,50,7.0,0.9051807087619719,1000,18,7.877158882656745,20.001117521666327,500,35,7.253718728870859,
0.001,10,20.478456980141317,1,50,9.74,20.236920240097387,1,50,9.48,1.7928450417828974,1000,18,7.670128283445327,6.855611221981345,500,35,7.440838404327248,
0.001,10,20.565727085788875,1,50,10.72,20.32257765904939,1,50,7.28,1.5139209699030194,1000,18,7.725662242461265,20.00131987948343,500,35,7.071557358575614,
0.001,10,20.290095498475235,1,50,7.24,20.418534321647616,1,50,9.82,2.287594316101345,1000,18,7.708835452879436,20.001227897365133,500,35,7.239970700924048,
0.001,10,20.322695324349812,1,50,8.86,20.397844671243504,1,50,9.6,1.5258186811166188,1000,18,7.7316599100349865,20.001514972675565,500,35,7.022763128239801,
0.001,10,20.226789816123443,1,50,8.4,20.36018212938576,1,50,7.46,1.4818396924345092,1000,18,7.734158938190704,20.00160235315779,500,35,7.071501014198783,
0.001,10,20.404934470119667,1,50,9.3,20.548617268113357,1,50,9.9,1.2052680209293816,1000,18,7.79313600266563,20.001496899729116,500,35,6.952783412215461,
0.001,10,20.316368640971618,1,50,9.6,20.37053984590785,1,50,8.24,2.14457176945718,1000,18,7.731993113789082,20.001403844027106,500,35,7.247520847419428,
0.001,10,20.276460032437114,1,50,9.92,20.645855673657934,1,50,10.56,0.98459253471156,1000,18,7.841894818681624,19.51924980881613,500,35,7.203346855983773,
0.001,10,20.41118544808768,1,50,9.66,20.427606587481915,1,50,4.98,1.9169661002449847,1000,18,7.620647525962126,19.99161940183667,500,35,7.055611899932387,
0.001,10,20.36326048057101,1,50,11.72,20.435312154641007,1,50,8.92,1.2660363949496305,1000,18,7.773143777419892,4.165535452078306,500,35,7.503042596348885,
0.001,10,20.620656538967975,1,50,10.94,20.423973977931734,1,50,8.14,1.3781451753589278,1000,18,7.779474648747709,20.001582901877853,500,35,7.140917286454812,
0.001,10,20.23284292928681,1,50,9.02,20.321294519702313,1,50,9.34,0.8854569443216254,1000,18,7.794968623313156,20.00146158618879,500,35,7.067500563443768,
0.001,10,20.36183255238301,1,50,7.16,20.377825000381502,1,50,9.56,2.4056274057102702,1000,18,7.6696840117731995,20.00129153835276,500,35,7.280087897227856,
0.001,10,20.293539204694472,1,50,10.82,20.3944666205146,1,50,10.78,1.0962390687367827,1000,18,7.805186871772088,20.001456159019643,500,35,7.131958530538652,
0.001,10,20.397213846964082,1,50,10.26,20.44904364360325,1,50,9.74,0.938030330714771,1000,18,7.87393791303382,8.100675185489349,500,35,7.498647734956052,
0.001,10,20.159807963898324,1,50,8.58,20.419804117157803,1,50,7.48,1.394602305688878,1000,18,7.78658299550175,20.001595896143524,500,35,7.189148073022312,
0.001,10,20.32931423379688,1,50,10.12,20.63134090110859,1,50,9.68,1.7929407618509328,1000,18,7.725773310379297,20.001562933492004,500,35,7.0669371196754565,
0.001,10,20.412472946855953,1,50,10.04,20.299345811047566,1,50,7.48,2.0071989294156656,1000,18,7.614261120675293,20.001550139973244,500,35,7.201938246562993,
0.001,10,20.700751482180436,1,50,9.46,20.227086168959712,1,50,7.5,0.7346417237132852,1000,18,7.906814016771255,20.001411501538882,500,35,7.238449402749605,
0.001,10,20.301331370574122,1,50,7.44,20.353727894962933,1,50,8.04,1.1672925321421066,1000,18,7.731326706280891,19.99938840829237,500,35,7.080854180752761,
